start,idle,oracle,never_charge,oracle_sav,nochg_sav
5569,85388.46349363014,73985.35758445818,82634.10132891494,0.13354387047874003,0.03225684187326634
5571,85285.58061726028,74454.96569280064,83710.92591832059,0.12699233382797312,0.018463316864855892
5573,85159.30588527398,74009.02464170843,82925.92859807254,0.13093438383101821,0.026225874717793356
5580,84719.62218534246,73831.25488425489,83025.95965624717,0.12852237793585675,0.019991384350015653
5585,84391.60944541096,73677.04900574367,83056.1032148355,0.12696239010109223,0.01582510677722448
5590,84038.84866787671,73160.97062746872,82366.8009055893,0.12943868476111078,0.019896128859348966
5594,83789.06272157533,72234.1413580816,80721.8610018871,0.13790488863552341,0.03660623021742485
5599,83523.62678835615,72743.47709694461,82052.96361728103,0.129067068875347,0.01760775037704836
5609,83222.67191910959,72732.98657319693,82350.55608952465,0.1260436021101122,0.010479305812635058
5614,83412.2731030822,72484.78846671784,81638.00316932981,0.13100571690283516,0.021271089586057973
5619,83607.44455945207,72813.79916615105,82108.97137791385,0.12909909458631774,0.017922724339130686
5626,83785.66587239727,73128.48867705265,82568.40681696619,0.12719570924667634,0.014528249465546029
5629,83773.64109938356,72490.56422510697,81266.61758690419,0.13468528675852934,0.029926161493985925
5633,83665.2451940411,72414.31076154903,81224.45622420788,0.1344756046121454,0.029173272177382626
5637,83400.42249623287,72466.08341726704,81612.02790842191,0.13110651902824264,0.02144347155905291
5639,83239.9917089041,72613.63745649943,82086.24816179444,0.12765924208120716,0.01386044764569864
5641,83090.22159595891,72211.18368232997,81415.7837329806,0.13093042363673324,0.02015204473903748
5669,81019.573465,70058.33505755264,79175.74859185462,0.13529123813744276,0.022757770675525722
5681,80146.46386760272,68951.7082302548,77821.4401164709,0.13967872189396918,0.02900968600402171
5701,78181.66137438356,68276.5596377319,77341.68410285063,0.1266934158538756,0.010743916882382238
5705,78302.55807849315,67580.65220548249,76512.40562749778,0.1369291902604594,0.022861991931360206
5710,78412.58167917808,67585.47044733894,76645.53313864072,0.13807874960854916,0.022535267972264576
13061,81825.10714000001,71290.22187316148,79126.07044698912,0.1287488111541814,0.03298543426766219
13070,81780.2965,72470.97745235807,80975.31826746691,0.11383327581408226,0.00984318065578411
