episode,timestep,reward_sum,reward_mean,steps,energy_cost_zar,demand_charge_zar
1,672,-1326.7031,-1.974261,672,126453.84,0.0
2,1344,-1014.8048,-1.510126,672,95902.77,0.0
3,2016,-1256.1187,-1.869224,672,120018.6,0.0
4,2688,-1140.239,-1.696784,672,109912.46,0.0
5,3360,-1054.3308,-1.568945,672,101017.97,0.0
6,4032,-952.8446,-1.417923,672,91368.44,0.0
7,4704,-1040.2308,-1.547963,672,99995.75,0.0
8,5376,-1003.2109,-1.492873,672,84520.57,11250.0
9,6048,-1043.436,-1.552732,672,100403.43,0.0
10,6720,-1022.2555,-1.521214,672,98167.94,0.0
11,7392,-994.6434,-1.480124,672,95630.7,0.0
12,8064,-854.9041,-1.272179,672,77704.36,0.0
13,8736,-834.8034,-1.242267,672,76027.69,0.0
14,9408,-921.2857,-1.370961,672,83098.91,0.0
15,10080,-968.4942,-1.441212,672,88154.83,0.0
16,10752,-1025.0217,-1.52533,672,96044.52,0.0
17,11424,-1331.7323,-1.981744,672,128170.17,0.0
18,12096,-851.9897,-1.267842,672,78760.8,0.0
19,12768,-1240.3815,-1.845806,672,119132.07,0.0
20,13440,-828.3181,-1.232616,672,75737.17,0.0
21,14112,-924.8927,-1.376328,672,86795.7,0.0
22,14784,-1134.0737,-1.68761,672,106368.98,0.0
23,15456,-1214.891,-1.807873,672,116112.65,0.0
24,16128,-819.0612,-1.218841,672,74525.69,0.0
25,16800,-1213.4102,-1.80567,672,114790.99,0.0
26,17472,-783.5345,-1.165974,672,70405.87,0.0
27,18144,-812.8017,-1.209526,672,74054.47,0.0
28,18816,-847.9474,-1.261826,672,77984.1,0.0
29,19488,-779.6206,-1.16015,672,71291.98,0.0
30,20160,-1062.745,-1.581466,672,98068.34,0.0
31,20832,-799.1018,-1.18914,672,71645.24,0.0
32,21504,-997.3333,-1.484127,672,93494.48,0.0
33,22176,-925.6776,-1.377496,672,85478.67,0.0
34,22848,-787.6274,-1.172065,672,71239.4,0.0
35,23520,-935.9744,-1.392819,672,86398.15,0.0
36,24192,-977.9361,-1.455262,672,91227.51,0.0
37,24864,-1097.9041,-1.633786,672,102919.06,0.0
38,25536,-981.8274,-1.461053,672,93519.04,0.0
39,26208,-1141.1044,-1.698072,672,108036.84,0.0
40,26880,-1115.286,-1.659652,672,106528.91,0.0
41,27552,-829.748,-1.234744,672,76734.95,0.0
42,28224,-855.2609,-1.27271,672,77832.43,0.0
43,28896,-835.9484,-1.243971,672,75996.07,0.0
44,29568,-787.5925,-1.172013,672,71459.33,0.0
45,30240,-1107.435,-1.647969,672,103149.67,0.0
46,30912,-1124.0788,-1.672736,672,107137.5,0.0
47,31584,-804.1126,-1.196596,672,72702.42,0.0
48,32256,-1052.5072,-1.566231,672,97072.59,0.0
49,32928,-923.2505,-1.373885,672,85564.54,0.0
50,33600,-938.1075,-1.395993,672,87247.51,0.0
51,34272,-1078.1066,-1.604325,672,100786.92,0.0
52,34944,-959.2175,-1.427407,672,92044.18,0.0
53,35616,-806.1351,-1.199606,672,72915.99,0.0
54,36288,-889.2334,-1.323264,672,71514.49,11250.0
55,36960,-1095.7804,-1.630626,672,102805.08,0.0
56,37632,-815.6503,-1.213765,672,73665.71,0.0
57,38304,-981.2436,-1.460184,672,91747.05,0.0
58,38976,-1051.2497,-1.56436,672,99142.1,0.0
59,39648,-963.3773,-1.433597,672,91848.97,0.0
60,40320,-769.6775,-1.145353,672,70217.55,0.0
61,40992,-875.3431,-1.302594,672,81766.85,0.0
62,41664,-1060.3409,-1.577888,672,100262.91,0.0
63,42336,-985.4626,-1.466462,672,91380.4,0.0
64,43008,-1074.8524,-1.599483,672,102541.89,0.0
65,43680,-1065.7124,-1.585882,672,99818.13,0.0
66,44352,-766.4419,-1.140538,672,70100.3,0.0
67,45024,-780.7868,-1.161885,672,70204.43,0.0
68,45696,-903.6535,-1.344722,672,84573.27,0.0
69,46368,-811.6158,-1.207762,672,74300.3,0.0
70,47040,-1077.7075,-1.603731,672,101462.54,0.0
71,47712,-971.7538,-1.446062,672,92439.72,0.0
72,48384,-950.731,-1.414778,672,90779.42,0.0
73,49056,-958.7761,-1.42675,672,91042.76,0.0
74,49728,-1064.0561,-1.583417,672,101536.94,0.0
75,50400,-1082.2476,-1.610487,672,103491.16,0.0
76,51072,-812.3808,-1.2089,672,74343.12,0.0
77,51744,-775.5723,-1.154125,672,72177.65,0.0
78,52416,-1105.8564,-1.64562,672,105450.94,0.0
79,53088,-808.7203,-1.203453,672,74032.94,0.0
80,53760,-1085.7355,-1.615678,672,103768.23,0.0
81,54432,-948.1395,-1.410922,672,89212.13,0.0
82,55104,-909.4426,-1.353337,672,86111.9,0.0
83,55776,-874.3348,-1.301094,672,72788.86,9660.0
84,56448,-977.9429,-1.455272,672,92788.5,0.0
85,57120,-773.8947,-1.151629,672,70863.6,0.0
86,57792,-766.3527,-1.140406,672,68924.55,0.0
87,58464,-998.819,-1.486338,672,94001.59,0.0
88,59136,-1104.6816,-1.643871,672,104599.1,0.0
89,59808,-1079.4261,-1.606289,672,103502.39,0.0
90,60480,-767.8938,-1.142699,672,69255.8,0.0
91,61152,-1074.1075,-1.598374,672,103091.29,0.0
92,61824,-846.0113,-1.258945,672,78834.76,0.0
93,62496,-1065.4479,-1.585488,672,100605.35,0.0
94,63168,-1072.7249,-1.596317,672,99920.78,0.0
95,63840,-955.9139,-1.422491,672,90346.18,0.0
96,64512,-788.157,-1.172853,672,72510.69,0.0
97,65184,-956.7725,-1.423769,672,90553.75,0.0
98,65856,-960.148,-1.428792,672,90446.45,0.0
99,66528,-847.3957,-1.261005,672,75892.8,0.0
100,67200,-950.358,-1.414223,672,90256.01,0.0
101,67872,-944.7558,-1.405887,672,89970.33,0.0
102,68544,-826.7468,-1.230278,672,77328.37,0.0
103,69216,-978.3366,-1.455858,672,92933.34,0.0
104,69888,-768.6528,-1.143829,672,70950.18,0.0
105,70560,-1103.5133,-1.642133,672,104644.19,0.0
106,71232,-993.8321,-1.478917,672,93727.64,0.0
107,71904,-925.2751,-1.376898,672,88394.14,0.0
108,72576,-944.7228,-1.405838,672,91195.95,0.0
109,73248,-1026.2961,-1.527226,672,97014.68,0.0
110,73920,-935.3494,-1.391889,672,88836.2,0.0
111,74592,-963.5603,-1.43387,672,91834.65,0.0
112,75264,-1045.5249,-1.555841,672,97988.53,0.0
113,75936,-814.8676,-1.212601,672,76154.62,0.0
114,76608,-1079.6379,-1.606604,672,104317.07,0.0
115,77280,-820.5365,-1.221036,672,75841.59,0.0
116,77952,-920.8477,-1.370309,672,87217.59,0.0
117,78624,-952.727,-1.417748,672,90123.36,0.0
118,79296,-1009.6785,-1.502498,672,95285.81,0.0
119,79968,-964.9302,-1.435908,672,91090.68,0.0
120,80640,-1038.836,-1.545887,672,99589.77,0.0
121,81312,-916.8412,-1.364347,672,86744.46,0.0
122,81984,-923.9751,-1.374963,672,87751.22,0.0
123,82656,-928.5226,-1.38173,672,87395.39,0.0
124,83328,-765.0998,-1.138541,672,69720.22,0.0
125,84000,-762.9439,-1.135333,672,70423.24,0.0
126,84672,-943.942,-1.404676,672,89328.74,0.0
127,85344,-1124.8594,-1.673898,672,105750.87,0.0
128,86016,-845.4898,-1.258169,672,79368.06,0.0
129,86688,-776.5613,-1.155597,672,72499.54,0.0
130,87360,-985.7188,-1.466843,672,93579.48,0.0
131,88032,-997.045,-1.483698,672,91904.67,0.0
132,88704,-970.6334,-1.444395,672,91340.4,0.0
133,89376,-1062.4499,-1.581027,672,101763.48,0.0
134,90048,-818.3693,-1.217811,672,75566.09,0.0
135,90720,-1067.4227,-1.588427,672,101910.19,0.0
136,91392,-1100.32,-1.637381,672,105767.22,0.0
137,92064,-1066.6821,-1.587324,672,101725.6,0.0
