arm,fault,severity,iqm,ci_lo,ci_hi
S0,F1,1,0.9998047235415684,0.9992702934526422,1.0000340924835425
S0,F1,2,0.9653087751721922,0.963680820330836,0.9672937620796651
S0,F1,3,0.9295130592247254,0.9256241207161932,0.933817804358435
S0,F2,1,1.0,1.0,1.0
S0,F2,2,1.0,1.0,1.0
S0,F2,3,0.9932695600532849,0.9903407140295101,0.9955347250757028
S0,F3,1,1.0,1.0,1.0
S0,F3,2,0.9997493096430221,0.9995306980552542,0.9998514219232038
S0,F3,3,0.9997711591764649,0.9996020538250439,0.9999009295336077
S0,F4,1,1.0000077161618481,0.9999747151271703,1.0000629526077607
S0,F4,2,1.0000324327187946,0.9999247097794518,1.000126791064401
S0,F4,3,1.0001521263459092,1.000043760325674,1.0002809109344766
S0,F5,1,1.00001748639206,0.9999218559009616,1.0001230432978647
S0,F5,2,1.0000052048736503,0.9999294403003326,1.0001800304327269
S0,F5,3,0.9999541921018882,0.9997498453930364,1.0002320192146785
S0,F6a,1,0.9856254387562053,0.9846946818641142,0.9865230788626048
S0,F6a,2,0.9478538612821026,0.945753509575825,0.9499195876931358
S0,F6a,3,0.8940593784861317,0.8894087542946086,0.8994229510120444
S0,F6b,1,0.9969008348453068,0.9955782027258111,0.9976499366438064
S0,F6b,2,0.993679412009774,0.9918301867335689,0.9954251052649145
S0,F6b,3,0.9678914810400382,0.9622572996412699,0.9728440703504786
S1,F1,1,1.000581396701553,0.9983470280694909,1.0025420699291612
S1,F1,2,0.9938168916025332,0.9871313295706416,1.0003545893983645
S1,F1,3,0.9836306311742458,0.9743836672619413,0.9872457292728523
S1,F2,1,1.0,1.0,1.0
S1,F2,2,1.0,1.0,1.0
S1,F2,3,0.9999561721768508,0.9989412262771831,1.0012642517318358
S1,F3,1,1.0,1.0,1.0
S1,F3,2,0.9999765953022267,0.9998177749138382,1.0
S1,F3,3,0.9998041156817539,0.9995846439525493,0.9999554762969847
S1,F4,1,1.000006480452939,0.9999632001278588,1.000041040872045
S1,F4,2,0.9999836750113286,0.9999137295588217,1.0001377205119504
S1,F4,3,1.0001013764624924,0.9999181543802599,1.0003302959394262
S1,F5,1,0.9999845790338637,0.9999331239452232,1.0000252903576445
S1,F5,2,0.9999126453327815,0.9998120759231819,1.0000016119720232
S1,F5,3,0.999867378138555,0.9996589890011529,0.9999911928945402
S1,F6a,1,0.9943868587014336,0.9921739671788317,0.9953370985425305
S1,F6a,2,0.9822687748676773,0.9734968498708918,0.9890485091734128
S1,F6a,3,0.9567110371923622,0.9374566630191632,0.9745904868846329
S1,F6b,1,0.9981749879735065,0.9973858977635446,0.9988994795964038
S1,F6b,2,0.9979493125009741,0.9964822365689606,1.0002004730965246
S1,F6b,3,0.9881325416259095,0.9821865280703166,0.9963180068900308
S2,F1,1,1.000856616593223,1.0000628610935627,1.0016367402539186
S2,F1,2,0.9868158017243867,0.9836475607277135,0.9904967601810539
S2,F1,3,0.9760293061773637,0.9677916909902209,0.9828917928635862
S2,F2,1,1.0,1.0,1.0
S2,F2,2,1.0,1.0,1.0
S2,F2,3,0.9955632588412311,0.9937909693275042,0.9969575427964701
S2,F3,1,1.0,1.0,1.0
S2,F3,2,1.0,1.0,1.0
S2,F3,3,0.9999985589194796,0.9999842562202417,1.0000489111775472
S2,F4,1,0.9999876116894006,0.9999602370151389,1.0000079195420288
S2,F4,2,0.9999941836229599,0.9998687367284769,1.000043570583688
S2,F4,3,1.0001611944313544,0.9998444687839573,1.0003238439487088
S2,F5,1,1.0000265366865335,0.9999760055411356,1.0000688747881517
S2,F5,2,1.0000751804766463,0.9999684519276751,1.0001629498378664
S2,F5,3,1.0001529803841591,1.0000075226193557,1.000255484069522
S2,F6a,1,0.9858914926354089,0.9848298102905847,0.9871878350857856
S2,F6a,2,0.946307701542336,0.9438486600077893,0.9495358852762513
S2,F6a,3,0.8982506800639714,0.8909320033495138,0.9018783916445514
S2,F6b,1,0.9971044664514809,0.996063413416557,0.9982805192515352
S2,F6b,2,0.992936706264253,0.9900888945179259,0.99541559301762
S2,F6b,3,0.9704149403434874,0.9657621347958933,0.9746044003202079
S3,F1,1,0.9993973552431751,0.9987020317185842,0.9998063121076328
S3,F1,2,0.9829415384112309,0.9798716256005842,0.9866439392700144
S3,F1,3,0.9677364898523134,0.9654575038292185,0.9721340223300439
S3,F2,1,1.0,1.0,1.0
S3,F2,2,1.0,1.0,1.0
S3,F2,3,0.9959627149943365,0.9937078315228566,0.9986445729726359
S3,F3,1,1.0,1.0,1.0
S3,F3,2,1.0,1.0,1.0000000000136466
S3,F3,3,0.9999977608213089,0.9999817455003804,1.0000108947197428
S3,F4,1,0.999896732805232,0.9997146949515159,1.0001387152117849
S3,F4,2,0.9993739479878492,0.9988434065190983,1.0000283482496486
S3,F4,3,0.9995652965861084,0.9985968261972664,1.0000958316815536
S3,F5,1,0.9999830034998153,0.999916546727594,1.000089921360654
S3,F5,2,0.9999329406790795,0.9997392043079621,1.0001355713513618
S3,F5,3,0.9998890470739212,0.9994029890409495,1.0001547390806758
S3,F6a,1,0.9852680023148098,0.9843647504015569,0.9861183042341957
S3,F6a,2,0.9465538138265238,0.9432522184415678,0.949000417429913
S3,F6a,3,0.8949936710380548,0.8915836888926153,0.8999632546179093
S3,F6b,1,0.9965220128211421,0.9958067133431746,0.9972652087388314
S3,F6b,2,0.9920724140959664,0.9901920277976308,0.9940776594885079
S3,F6b,3,0.9657029292967494,0.9617732584552144,0.971149025700739
