episode,timestep,reward_sum,reward_mean,steps,energy_cost_zar,demand_charge_zar
1,672,-1182.3991,-1.759522,672,114140.46,0.0
2,1344,-1089.4096,-1.621145,672,103839.27,0.0
3,2016,-1745.8424,-2.59798,672,170209.75,0.0
4,2688,-1077.4031,-1.603278,672,103024.25,0.0
5,3360,-1230.3566,-1.830888,672,118962.07,0.0
6,4032,-1027.8339,-1.529515,672,87368.25,11250.0
7,4704,-914.8399,-1.361369,672,85835.11,0.0
8,5376,-983.7564,-1.463923,672,94313.53,0.0
9,6048,-871.0209,-1.296162,672,80654.7,0.0
10,6720,-866.7566,-1.289816,672,79636.61,0.0
11,7392,-985.7598,-1.466905,672,94254.56,0.0
12,8064,-1363.5383,-2.029075,672,132217.26,0.0
13,8736,-1114.1655,-1.657984,672,106628.41,0.0
14,9408,-1116.5203,-1.661489,672,107634.75,0.0
15,10080,-913.6377,-1.35958,672,85813.34,0.0
16,10752,-1124.9104,-1.673974,672,108730.81,0.0
17,11424,-832.4448,-1.238757,672,77533.26,0.0
18,12096,-1163.7924,-1.731834,672,110749.79,0.0
19,12768,-972.5415,-1.447234,672,94183.3,0.0
20,13440,-967.3526,-1.439513,672,88424.65,0.0
21,14112,-983.8026,-1.463992,672,91940.48,0.0
22,14784,-830.4446,-1.235781,672,77677.75,0.0
23,15456,-967.3987,-1.439581,672,90675.81,0.0
24,16128,-1123.8236,-1.672357,672,105631.91,0.0
25,16800,-984.6039,-1.465184,672,93468.07,0.0
26,17472,-831.0889,-1.236739,672,76791.56,0.0
27,18144,-1091.6674,-1.624505,672,103606.68,0.0
28,18816,-935.1151,-1.39154,672,87819.85,0.0
29,19488,-776.9538,-1.156181,672,72985.02,0.0
30,20160,-1119.1626,-1.665421,672,107616.75,0.0
31,20832,-1125.6584,-1.675087,672,105758.36,0.0
32,21504,-931.6386,-1.386367,672,88232.31,0.0
33,22176,-873.8253,-1.300335,672,81034.28,0.0
34,22848,-1066.4994,-1.587053,672,101169.68,0.0
35,23520,-808.0829,-1.202504,672,75194.97,0.0
36,24192,-979.7092,-1.457901,672,92433.09,0.0
37,24864,-1068.9687,-1.590727,672,101668.39,0.0
38,25536,-1082.2904,-1.610551,672,101872.15,0.0
39,26208,-791.6844,-1.178102,672,73092.19,0.0
