episode,timestep,reward_sum,reward_mean,steps,energy_cost_zar,demand_charge_zar
1,672,-1736.2836,-2.583755,672,169706.08,0.0
2,1344,-1277.804,-1.901494,672,123911.22,0.0
3,2016,-1133.2675,-1.68641,672,107532.62,0.0
4,2688,-982.0085,-1.461322,672,93806.45,0.0
5,3360,-1155.2727,-1.719156,672,111392.65,0.0
6,4032,-1251.5123,-1.862369,672,120690.65,0.0
7,4704,-1106.6917,-1.646863,672,105488.57,0.0
8,5376,-1545.7908,-2.300284,672,151095.74,0.0
9,6048,-951.6809,-1.416192,672,89826.08,0.0
10,6720,-1340.4893,-1.994776,672,129224.02,0.0
11,7392,-1049.9569,-1.562436,672,99266.17,0.0
12,8064,-1054.7939,-1.569634,672,96904.75,0.0
13,8736,-911.2263,-1.355992,672,86881.69,0.0
14,9408,-894.5471,-1.331171,672,82566.11,0.0
15,10080,-842.835,-1.254219,672,78083.68,0.0
16,10752,-926.7148,-1.37904,672,87658.39,0.0
17,11424,-862.41,-1.283348,672,79932.02,0.0
18,12096,-1115.8624,-1.660509,672,104628.09,0.0
19,12768,-1018.4649,-1.515573,672,94649.22,0.0
20,13440,-1119.2476,-1.665547,672,106438.02,0.0
21,14112,-998.9828,-1.486582,672,94282.81,0.0
22,14784,-1151.4584,-1.71348,672,109724.12,0.0
23,15456,-872.6723,-1.29862,672,80760.69,0.0
24,16128,-1134.6938,-1.688532,672,109327.47,0.0
25,16800,-803.5912,-1.19582,672,75136.78,0.0
26,17472,-1026.545,-1.527597,672,82283.54,9660.0
27,18144,-945.2216,-1.40658,672,87778.1,0.0
28,18816,-819.0539,-1.21883,672,76162.84,0.0
29,19488,-1132.4868,-1.685248,672,108776.32,0.0
30,20160,-885.852,-1.318232,672,83188.18,0.0
31,20832,-821.0929,-1.221864,672,77386.21,0.0
32,21504,-1123.4807,-1.671846,672,105209.62,0.0
33,22176,-838.1475,-1.247243,672,78537.69,0.0
34,22848,-891.8696,-1.327187,672,83671.98,0.0
35,23520,-819.423,-1.21938,672,76229.64,0.0
36,24192,-975.6538,-1.451866,672,94349.34,0.0
37,24864,-1119.211,-1.665493,672,107483.9,0.0
38,25536,-804.4775,-1.197139,672,75442.74,0.0
39,26208,-1072.245,-1.595603,672,100288.11,0.0
40,26880,-955.0383,-1.421188,672,90213.93,0.0
41,27552,-911.9521,-1.357072,672,85297.27,0.0
42,28224,-781.9049,-1.163549,672,72804.52,0.0
43,28896,-1094.1525,-1.628203,672,103864.41,0.0
44,29568,-868.6356,-1.292612,672,79853.93,0.0
