episode,timestep,reward_sum,reward_mean,steps,energy_cost_zar,demand_charge_zar
1,672,-1182.3991,-1.759522,672,114140.46,0.0
2,1344,-1089.4096,-1.621145,672,103839.27,0.0
3,2016,-1750.5412,-2.604972,672,170334.08,0.0
4,2688,-1049.3817,-1.56158,672,101123.99,0.0
5,3360,-1205.5016,-1.793901,672,117355.94,0.0
6,4032,-1042.3987,-1.551188,672,88900.98,11250.0
7,4704,-932.0741,-1.387015,672,87704.67,0.0
8,5376,-984.1154,-1.464457,672,92973.95,0.0
9,6048,-843.2443,-1.254828,672,78920.38,0.0
10,6720,-848.0014,-1.261907,672,77950.52,0.0
11,7392,-978.3804,-1.455923,672,93557.53,0.0
12,8064,-1374.3409,-2.04515,672,133384.36,0.0
13,8736,-1139.6514,-1.69591,672,108439.44,0.0
14,9408,-1147.5738,-1.707699,672,109747.07,0.0
15,10080,-901.3931,-1.341359,672,85868.6,0.0
16,10752,-1162.8546,-1.730438,672,112668.53,0.0
17,11424,-824.4086,-1.226799,672,76910.46,0.0
18,12096,-1177.3674,-1.752035,672,112308.58,0.0
19,12768,-970.7769,-1.444609,672,93025.89,0.0
20,13440,-970.3147,-1.443921,672,88933.25,0.0
21,14112,-964.4315,-1.435166,672,91329.07,0.0
22,14784,-833.8508,-1.240849,672,76088.16,0.0
23,15456,-960.9221,-1.429944,672,91175.37,0.0
24,16128,-1147.1865,-1.707123,672,108456.4,0.0
25,16800,-995.1483,-1.480875,672,95281.77,0.0
26,17472,-855.9934,-1.2738,672,77555.77,0.0
27,18144,-1132.1067,-1.684683,672,105683.56,0.0
28,18816,-931.2446,-1.385781,672,88617.97,0.0
29,19488,-772.6707,-1.149808,672,71779.82,0.0
30,20160,-1113.0488,-1.656323,672,107252.36,0.0
31,20832,-1150.5178,-1.71208,672,109345.68,0.0
32,21504,-967.1875,-1.439267,672,90319.4,0.0
33,22176,-874.2333,-1.300942,672,80683.11,0.0
34,22848,-1087.6946,-1.618593,672,103028.99,0.0
35,23520,-810.2452,-1.205722,672,75728.42,0.0
36,24192,-968.8645,-1.441763,672,92582.35,0.0
37,24864,-1084.8579,-1.614372,672,103555.57,0.0
38,25536,-1073.5554,-1.597553,672,101248.8,0.0
39,26208,-788.3312,-1.173112,672,72883.11,0.0
