episode,timestep,reward_sum,reward_mean,steps,energy_cost_zar,demand_charge_zar
1,672,-1186.2931,-1.765317,672,114294.57,0.0
2,1344,-1096.6056,-1.631854,672,103668.0,0.0
3,2016,-1054.9341,-1.569842,672,98843.2,0.0
4,2688,-1066.0013,-1.586311,672,102148.38,0.0
5,3360,-1582.9064,-2.355516,672,154350.21,0.0
6,4032,-1075.2012,-1.600002,672,102982.39,0.0
7,4704,-1018.4397,-1.515535,672,97491.28,0.0
8,5376,-1159.3547,-1.72523,672,112345.19,0.0
9,6048,-996.2537,-1.48252,672,95295.14,0.0
10,6720,-878.6593,-1.307529,672,81289.26,0.0
11,7392,-957.529,-1.424894,672,90851.53,0.0
12,8064,-1126.7676,-1.676738,672,107921.2,0.0
13,8736,-860.3094,-1.280222,672,79351.24,0.0
14,9408,-831.0548,-1.236689,672,76553.49,0.0
15,10080,-902.5801,-1.343125,672,81028.49,0.0
16,10752,-1011.2399,-1.504821,672,93423.05,0.0
17,11424,-1116.792,-1.661893,672,105988.74,0.0
18,12096,-820.779,-1.221397,672,75697.83,0.0
19,12768,-915.5642,-1.362447,672,84302.79,0.0
20,13440,-1121.6965,-1.669191,672,106002.15,0.0
21,14112,-1237.7098,-1.84183,672,118465.59,0.0
22,14784,-935.4888,-1.392096,672,88810.46,0.0
23,15456,-1010.108,-1.503137,672,94578.57,0.0
24,16128,-1132.0687,-1.684626,672,108722.13,0.0
25,16800,-882.2103,-1.312813,672,81835.52,0.0
26,17472,-964.1701,-1.434777,672,90632.08,0.0
27,18144,-935.7653,-1.392508,672,88726.93,0.0
28,18816,-769.356,-1.144875,672,70615.95,0.0
29,19488,-897.2121,-1.335137,672,84077.16,0.0
30,20160,-1005.6249,-1.496466,672,93437.83,0.0
31,20832,-1087.6455,-1.61852,672,103218.94,0.0
32,21504,-782.4026,-1.16429,672,72933.07,0.0
33,22176,-834.5971,-1.24196,672,77671.97,0.0
34,22848,-904.9031,-1.346582,672,84120.74,0.0
35,23520,-859.4301,-1.278914,672,78907.74,0.0
36,24192,-779.0488,-1.159299,672,71129.61,0.0
37,24864,-768.1638,-1.143101,672,70166.94,0.0
38,25536,-795.8813,-1.184347,672,73362.66,0.0
39,26208,-890.8166,-1.32562,672,83254.53,0.0
40,26880,-926.5328,-1.378769,672,87614.7,0.0
41,27552,-1089.8285,-1.621769,672,103541.9,0.0
42,28224,-962.5536,-1.432371,672,90984.19,0.0
43,28896,-967.3414,-1.439496,672,92907.05,0.0
44,29568,-916.1639,-1.363339,672,85047.28,0.0
45,30240,-804.1499,-1.196652,672,73681.33,0.0
46,30912,-885.3827,-1.317534,672,83309.73,0.0
47,31584,-1068.1451,-1.589502,672,102300.28,0.0
48,32256,-1063.1168,-1.582019,672,101148.16,0.0
49,32928,-959.7979,-1.428271,672,90575.24,0.0
50,33600,-924.2171,-1.375323,672,87507.92,0.0
51,34272,-925.1672,-1.376737,672,85912.23,0.0
52,34944,-980.9372,-1.459728,672,92084.09,0.0
53,35616,-902.9035,-1.343606,672,85035.18,0.0
54,36288,-1102.6818,-1.640896,672,105183.91,0.0
55,36960,-920.965,-1.370484,672,87019.6,0.0
56,37632,-813.1043,-1.209977,672,74592.49,0.0
57,38304,-873.2256,-1.299443,672,82637.79,0.0
58,38976,-769.5164,-1.145114,672,72107.62,0.0
59,39648,-1094.8578,-1.629253,672,106095.42,0.0
60,40320,-960.0913,-1.428707,672,92518.9,0.0
61,40992,-973.5778,-1.448777,672,92181.88,0.0
62,41664,-1012.0018,-1.505955,672,96057.06,0.0
63,42336,-956.0106,-1.422635,672,89674.85,0.0
64,43008,-819.648,-1.219714,672,76568.65,0.0
65,43680,-920.1802,-1.369316,672,87751.56,0.0
66,44352,-938.7215,-1.396907,672,88549.29,0.0
67,45024,-1143.1125,-1.70106,672,109275.75,0.0
68,45696,-929.7689,-1.383585,672,87657.02,0.0
