episode,timestep,reward_sum,reward_mean,steps,energy_cost_zar,demand_charge_zar
1,672,-1307.9816,-1.946401,672,125924.43,0.0
2,1344,-1199.0172,-1.784252,672,114714.48,0.0
3,2016,-1284.7621,-1.911848,672,124114.7,0.0
4,2688,-1001.31,-1.490045,672,96064.39,0.0
5,3360,-1060.9095,-1.578734,672,101225.15,0.0
6,4032,-935.8821,-1.392682,672,89917.27,0.0
7,4704,-1094.0225,-1.62801,672,103890.62,0.0
8,5376,-1430.6696,-2.128973,672,138730.95,0.0
9,6048,-888.5693,-1.322276,672,84508.74,0.0
10,6720,-871.9556,-1.297553,672,80854.65,0.0
11,7392,-993.0415,-1.47774,672,94337.93,0.0
12,8064,-1016.638,-1.512854,672,97023.71,0.0
13,8736,-1129.5678,-1.680904,672,108801.39,0.0
14,9408,-1145.4956,-1.704607,672,108886.89,0.0
15,10080,-1204.6988,-1.792707,672,110653.77,0.0
16,10752,-853.5609,-1.27018,672,80764.74,0.0
17,11424,-826.7405,-1.230269,672,76328.22,0.0
18,12096,-1123.4419,-1.671789,672,107434.26,0.0
19,12768,-919.2421,-1.36792,672,85652.46,0.0
20,13440,-1228.1031,-1.827534,672,118200.87,0.0
21,14112,-937.948,-1.395756,672,88845.43,0.0
22,14784,-1115.9824,-1.660688,672,105179.4,0.0
23,15456,-809.2496,-1.204241,672,76432.71,0.0
24,16128,-772.1892,-1.149091,672,71570.86,0.0
25,16800,-824.0192,-1.226219,672,77805.23,0.0
26,17472,-956.1343,-1.422819,672,89999.63,0.0
27,18144,-821.9984,-1.223212,672,77592.71,0.0
28,18816,-1107.6274,-1.648255,672,103840.4,0.0
29,19488,-951.5173,-1.415948,672,89180.84,0.0
30,20160,-958.5756,-1.426452,672,90335.87,0.0
31,20832,-957.1084,-1.424268,672,88127.7,0.0
32,21504,-983.9653,-1.464234,672,91009.37,0.0
33,22176,-923.4501,-1.374182,672,86055.17,0.0
34,22848,-827.7403,-1.231756,672,75154.56,0.0
35,23520,-972.8715,-1.447725,672,91548.22,0.0
36,24192,-981.412,-1.460434,672,91936.98,0.0
37,24864,-1109.9892,-1.65177,672,104321.51,0.0
38,25536,-778.3547,-1.158266,672,71417.16,0.0
39,26208,-1120.2988,-1.667111,672,105657.06,0.0
40,26880,-978.8506,-1.456623,672,92294.71,0.0
41,27552,-1121.6145,-1.669069,672,106258.05,0.0
42,28224,-1112.9518,-1.656178,672,106902.03,0.0
43,28896,-784.8721,-1.167965,672,72796.61,0.0
44,29568,-1076.1654,-1.601437,672,101128.66,0.0
45,30240,-985.6001,-1.466667,672,93604.69,0.0
46,30912,-1072.4667,-1.595933,672,101828.63,0.0
47,31584,-840.1853,-1.250276,672,75826.23,0.0
48,32256,-940.0105,-1.398825,672,87379.38,0.0
49,32928,-970.3215,-1.443931,672,91869.85,0.0
50,33600,-802.8025,-1.194647,672,74359.76,0.0
51,34272,-982.3415,-1.461818,672,90491.76,0.0
52,34944,-1130.8242,-1.682774,672,105262.09,0.0
53,35616,-793.9312,-1.181445,672,74333.37,0.0
54,36288,-958.2333,-1.425942,672,89833.65,0.0
55,36960,-886.2732,-1.318859,672,72740.15,11250.0
56,37632,-1087.9721,-1.619006,672,101837.95,0.0
57,38304,-1063.2443,-1.582209,672,100207.92,0.0
58,38976,-853.2755,-1.269755,672,74063.47,7740.0
59,39648,-768.1472,-1.143076,672,72167.01,0.0
60,40320,-766.0501,-1.139956,672,70882.62,0.0
61,40992,-812.0807,-1.208453,672,74145.23,0.0
62,41664,-1069.1272,-1.590963,672,101364.45,0.0
63,42336,-866.9162,-1.290054,672,80858.4,0.0
