episode,timestep,reward_sum,reward_mean,steps,energy_cost_zar,demand_charge_zar
1,672,-1011.9729,-1.505912,672,96917.63,0.0
2,1344,-1101.7623,-1.639527,672,105880.61,0.0
3,2016,-1295.2381,-1.927438,672,123338.69,0.0
4,2688,-986.5094,-1.46802,672,94738.86,0.0
5,3360,-980.1561,-1.458566,672,93374.14,0.0
6,4032,-1256.6942,-1.870081,672,120718.07,0.0
7,4704,-929.2268,-1.382778,672,88718.0,0.0
8,5376,-1012.1148,-1.506123,672,95570.32,0.0
9,6048,-1047.9334,-1.559425,672,99959.29,0.0
10,6720,-841.2661,-1.251884,672,78446.72,0.0
11,7392,-977.2522,-1.454244,672,94098.65,0.0
12,8064,-996.8501,-1.483408,672,94762.7,0.0
13,8736,-952.645,-1.417626,672,89861.28,0.0
14,9408,-1354.8744,-2.016182,672,130752.7,0.0
15,10080,-955.2541,-1.421509,672,89796.22,0.0
16,10752,-947.8168,-1.410442,672,91127.44,0.0
17,11424,-1301.9819,-1.937473,672,125254.47,0.0
18,12096,-962.6482,-1.432512,672,90826.7,0.0
19,12768,-925.4662,-1.377182,672,74704.36,11250.0
20,13440,-1203.8275,-1.79141,672,114833.27,0.0
21,14112,-956.7952,-1.423802,672,87396.13,0.0
22,14784,-879.713,-1.309097,672,80693.46,0.0
23,15456,-980.6416,-1.459288,672,92490.65,0.0
24,16128,-1175.6126,-1.749423,672,112201.26,0.0
25,16800,-917.3179,-1.365056,672,86419.71,0.0
26,17472,-1118.7479,-1.664803,672,103689.48,0.0
27,18144,-797.1204,-1.186191,672,74749.71,0.0
28,18816,-821.8706,-1.223022,672,75385.6,0.0
29,19488,-826.5357,-1.229964,672,77006.34,0.0
30,20160,-873.7882,-1.30028,672,79458.01,0.0
31,20832,-936.7022,-1.393902,672,88455.63,0.0
32,21504,-1108.6328,-1.649751,672,104748.98,0.0
33,22176,-1100.2792,-1.63732,672,105487.55,0.0
34,22848,-931.5168,-1.386186,672,88507.67,0.0
35,23520,-1106.7392,-1.646933,672,104249.96,0.0
36,24192,-1093.3841,-1.62706,672,103321.46,0.0
37,24864,-1017.7629,-1.514528,672,97579.64,0.0
38,25536,-970.3117,-1.443916,672,92214.92,0.0
39,26208,-823.1553,-1.224933,672,75719.14,0.0
40,26880,-900.4525,-1.339959,672,83393.47,0.0
41,27552,-942.0893,-1.401919,672,88966.05,0.0
42,28224,-786.4442,-1.170304,672,72304.98,0.0
43,28896,-926.5209,-1.378751,672,87163.47,0.0
44,29568,-1079.0451,-1.605722,672,102122.12,0.0
45,30240,-873.6663,-1.300099,672,80578.21,0.0
46,30912,-933.3151,-1.388862,672,87900.64,0.0
47,31584,-976.7603,-1.453512,672,92682.32,0.0
48,32256,-1078.4818,-1.604884,672,101816.16,0.0
49,32928,-998.9308,-1.486504,672,95011.73,0.0
50,33600,-1053.2235,-1.567297,672,98392.68,0.0
51,34272,-836.3319,-1.244541,672,76745.11,0.0
52,34944,-931.9775,-1.386871,672,87974.31,0.0
53,35616,-1063.9181,-1.583211,672,100439.72,0.0
54,36288,-806.2047,-1.199709,672,74278.05,0.0
55,36960,-992.7794,-1.47735,672,93954.35,0.0
56,37632,-1014.4828,-1.509647,672,96025.8,0.0
57,38304,-876.6447,-1.304531,672,81334.16,0.0
58,38976,-1109.9739,-1.651747,672,105120.59,0.0
59,39648,-874.2779,-1.301009,672,81252.99,0.0
60,40320,-1006.3991,-1.497618,672,96559.63,0.0
61,40992,-800.3978,-1.191068,672,72989.81,0.0
62,41664,-966.8394,-1.438749,672,92420.4,0.0
63,42336,-790.9953,-1.177076,672,73192.95,0.0
