episode,timestep,reward_sum,reward_mean,steps,energy_cost_zar,demand_charge_zar
1,672,-1307.9816,-1.946401,672,125924.43,0.0
2,1344,-1199.0172,-1.784252,672,114714.48,0.0
3,2016,-1284.7564,-1.91184,672,124117.45,0.0
4,2688,-996.6139,-1.483056,672,95641.85,0.0
5,3360,-1065.2762,-1.585232,672,101644.62,0.0
6,4032,-933.8905,-1.389718,672,89577.31,0.0
7,4704,-1103.2316,-1.641714,672,104526.58,0.0
8,5376,-1432.4746,-2.131659,672,139223.65,0.0
9,6048,-869.3585,-1.293688,672,82834.27,0.0
10,6720,-844.5057,-1.256705,672,79107.63,0.0
11,7392,-989.1763,-1.471989,672,94891.25,0.0
12,8064,-1010.4477,-1.503642,672,96761.11,0.0
13,8736,-1121.4673,-1.66885,672,108579.9,0.0
14,9408,-1132.7428,-1.685629,672,108018.73,0.0
15,10080,-1286.0024,-1.913694,672,119370.61,0.0
16,10752,-849.7155,-1.264458,672,81396.68,0.0
17,11424,-825.4815,-1.228395,672,76245.7,0.0
18,12096,-1133.378,-1.686574,672,109331.56,0.0
19,12768,-928.0601,-1.381042,672,86271.34,0.0
20,13440,-1231.3574,-1.832377,672,118750.85,0.0
21,14112,-918.6763,-1.367078,672,88665.7,0.0
22,14784,-1100.9526,-1.638322,672,104499.8,0.0
23,15456,-814.8803,-1.21262,672,77073.31,0.0
24,16128,-775.3552,-1.153802,672,71908.39,0.0
25,16800,-819.1084,-1.218911,672,77704.29,0.0
26,17472,-937.8525,-1.395614,672,89571.29,0.0
27,18144,-827.5536,-1.231478,672,78493.38,0.0
28,18816,-1098.6767,-1.634936,672,104695.01,0.0
29,19488,-939.5437,-1.39813,672,89262.61,0.0
30,20160,-974.3103,-1.449867,672,92743.07,0.0
31,20832,-965.0255,-1.43605,672,90080.83,0.0
32,21504,-988.5634,-1.471077,672,92420.18,0.0
33,22176,-920.7357,-1.370142,672,87072.18,0.0
34,22848,-807.1982,-1.201188,672,74214.07,0.0
35,23520,-967.1265,-1.439176,672,91652.66,0.0
36,24192,-975.8028,-1.452088,672,91759.98,0.0
37,24864,-1110.5654,-1.652627,672,104843.39,0.0
38,25536,-782.6337,-1.164633,672,72540.68,0.0
39,26208,-1114.9762,-1.659191,672,105878.04,0.0
40,26880,-1004.4083,-1.494655,672,95160.64,0.0
41,27552,-1094.8881,-1.629298,672,103990.6,0.0
42,28224,-1108.1881,-1.649089,672,106931.4,0.0
43,28896,-788.0873,-1.172749,672,74237.56,0.0
44,29568,-1069.8243,-1.592,672,101299.0,0.0
45,30240,-976.6329,-1.453323,672,93155.04,0.0
46,30912,-1070.8781,-1.593569,672,102281.66,0.0
47,31584,-857.7241,-1.276375,672,77363.53,0.0
48,32256,-976.0496,-1.452455,672,89804.21,0.0
49,32928,-964.7001,-1.435566,672,91842.79,0.0
50,33600,-825.2214,-1.228008,672,75210.13,0.0
51,34272,-1005.0622,-1.495628,672,92212.29,0.0
52,34944,-1104.0651,-1.642954,672,104124.5,0.0
53,35616,-818.6711,-1.218261,672,74781.08,0.0
54,36288,-963.0303,-1.433081,672,90958.24,0.0
55,36960,-888.9177,-1.322794,672,73315.25,11250.0
56,37632,-1076.6762,-1.602197,672,102347.84,0.0
57,38304,-1076.1144,-1.601361,672,102502.87,0.0
58,38976,-895.607,-1.332748,672,73701.96,11250.0
59,39648,-769.3788,-1.144909,672,72109.07,0.0
60,40320,-778.3544,-1.158265,672,72039.4,0.0
61,40992,-812.1359,-1.208536,672,74319.39,0.0
62,41664,-1066.1018,-1.586461,672,101289.76,0.0
63,42336,-874.4707,-1.301296,672,81646.17,0.0
