episode,timestep,reward_sum,reward_mean,steps,energy_cost_zar,demand_charge_zar
1,672,-1182.3991,-1.759522,672,114140.46,0.0
2,1344,-1089.4096,-1.621145,672,103839.27,0.0
3,2016,-1749.8988,-2.604016,672,170646.04,0.0
4,2688,-1101.7205,-1.639465,672,104682.29,0.0
5,3360,-1223.6837,-1.820958,672,118487.64,0.0
6,4032,-1066.9418,-1.587711,672,90766.88,11250.0
7,4704,-998.672,-1.486119,672,94978.93,0.0
8,5376,-1106.4451,-1.646496,672,105113.0,0.0
9,6048,-966.7553,-1.438624,672,92023.25,0.0
10,6720,-961.38,-1.430625,672,90876.52,0.0
11,7392,-1042.0692,-1.550698,672,98775.54,0.0
12,8064,-1464.1272,-2.178761,672,141538.92,0.0
13,8736,-1182.6514,-1.759898,672,111821.56,0.0
14,9408,-1187.6493,-1.767335,672,112010.38,0.0
15,10080,-1000.8671,-1.489386,672,89026.83,0.0
16,10752,-1296.2087,-1.928882,672,124043.42,0.0
17,11424,-945.1564,-1.406483,672,83999.91,0.0
18,12096,-1312.3976,-1.952973,672,125282.79,0.0
19,12768,-1051.8054,-1.565187,672,97880.67,0.0
20,13440,-981.1192,-1.459999,672,89051.28,0.0
21,14112,-1023.7984,-1.52351,672,92920.78,0.0
22,14784,-888.6348,-1.322373,672,78868.65,0.0
23,15456,-986.4666,-1.467956,672,90066.88,0.0
24,16128,-1380.8414,-2.054824,672,133280.51,0.0
25,16800,-1022.5574,-1.521663,672,96293.33,0.0
26,17472,-914.0044,-1.360126,672,80348.47,0.0
27,18144,-1131.6006,-1.683929,672,108034.89,0.0
28,18816,-938.1992,-1.39613,672,90044.51,0.0
29,19488,-826.8142,-1.230378,672,74539.22,0.0
30,20160,-1131.639,-1.683987,672,107459.11,0.0
31,20832,-1249.523,-1.859409,672,118929.31,0.0
32,21504,-980.203,-1.458635,672,90331.19,0.0
33,22176,-899.5561,-1.338625,672,82376.34,0.0
34,22848,-1213.2424,-1.80542,672,114644.25,0.0
35,23520,-851.6666,-1.267361,672,77532.03,0.0
36,24192,-1002.0283,-1.491113,672,95205.91,0.0
37,24864,-1102.8042,-1.641078,672,103109.67,0.0
38,25536,-1119.8549,-1.666451,672,104478.58,0.0
39,26208,-826.2305,-1.22951,672,75869.42,0.0
