episode,timestep,reward_sum,reward_mean,steps,energy_cost_zar,demand_charge_zar
1,672,-1011.9729,-1.505912,672,96917.63,0.0
2,1344,-1101.7623,-1.639527,672,105880.61,0.0
3,2016,-1295.2114,-1.927398,672,123336.59,0.0
4,2688,-989.4115,-1.472339,672,94987.4,0.0
5,3360,-977.7886,-1.455043,672,93139.07,0.0
6,4032,-1250.2847,-1.860543,672,120025.47,0.0
7,4704,-936.2091,-1.393168,672,88877.22,0.0
8,5376,-1011.4791,-1.505177,672,95165.77,0.0
9,6048,-1049.0204,-1.561042,672,100306.56,0.0
10,6720,-841.6047,-1.252388,672,78784.76,0.0
11,7392,-985.931,-1.467159,672,95244.22,0.0
12,8064,-995.0446,-1.480721,672,94003.36,0.0
13,8736,-943.4471,-1.403939,672,89089.42,0.0
14,9408,-1318.8345,-1.962551,672,126938.47,0.0
15,10080,-948.4733,-1.411419,672,90570.61,0.0
16,10752,-950.7402,-1.414792,672,89700.61,0.0
17,11424,-1277.4618,-1.900985,672,122849.99,0.0
18,12096,-942.1561,-1.402018,672,90381.37,0.0
19,12768,-915.7894,-1.362782,672,74805.82,11250.0
20,13440,-1223.0543,-1.820021,672,117023.69,0.0
21,14112,-941.6661,-1.401289,672,86998.55,0.0
22,14784,-889.8648,-1.324204,672,81175.66,0.0
23,15456,-972.4109,-1.44704,672,92394.8,0.0
24,16128,-1179.1559,-1.754696,672,113025.78,0.0
25,16800,-919.8566,-1.368834,672,84855.93,0.0
26,17472,-1105.2393,-1.644701,672,103770.6,0.0
27,18144,-810.4764,-1.206066,672,74337.47,0.0
28,18816,-833.6681,-1.240577,672,76237.51,0.0
29,19488,-838.8518,-1.248291,672,77926.56,0.0
30,20160,-875.9459,-1.303491,672,79813.7,0.0
31,20832,-930.6514,-1.384898,672,88866.17,0.0
32,21504,-1107.3469,-1.647838,672,104465.45,0.0
33,22176,-1099.9253,-1.636794,672,105743.81,0.0
34,22848,-925.6309,-1.377427,672,89046.67,0.0
35,23520,-1076.0464,-1.60126,672,101524.93,0.0
36,24192,-1107.3683,-1.647869,672,104504.9,0.0
37,24864,-1033.1449,-1.537418,672,98017.99,0.0
38,25536,-973.1584,-1.448152,672,92625.86,0.0
39,26208,-802.3526,-1.193977,672,73940.27,0.0
40,26880,-899.6406,-1.338751,672,84632.99,0.0
41,27552,-941.5841,-1.401167,672,89896.66,0.0
42,28224,-786.5281,-1.170429,672,71587.97,0.0
43,28896,-935.2258,-1.391705,672,88810.86,0.0
44,29568,-1079.3955,-1.606243,672,102769.86,0.0
45,30240,-868.0874,-1.291797,672,80497.19,0.0
46,30912,-934.1574,-1.390115,672,87799.79,0.0
47,31584,-964.3025,-1.434974,672,90877.13,0.0
48,32256,-1089.3731,-1.621091,672,103802.98,0.0
49,32928,-1001.0701,-1.489688,672,95107.47,0.0
50,33600,-1063.8713,-1.583142,672,100518.18,0.0
51,34272,-834.1552,-1.241302,672,76479.8,0.0
52,34944,-932.8503,-1.38817,672,87937.16,0.0
53,35616,-1068.5618,-1.590122,672,101318.76,0.0
54,36288,-813.0993,-1.209969,672,73752.69,0.0
55,36960,-997.5163,-1.484399,672,92424.82,0.0
56,37632,-996.7993,-1.483332,672,94755.87,0.0
57,38304,-859.6566,-1.279251,672,80040.33,0.0
58,38976,-1122.1505,-1.669867,672,105778.73,0.0
59,39648,-885.3128,-1.31743,672,83398.54,0.0
60,40320,-1006.9261,-1.498402,672,96495.03,0.0
61,40992,-802.9472,-1.194862,672,73430.13,0.0
62,41664,-964.6403,-1.435477,672,90477.86,0.0
63,42336,-788.1299,-1.172812,672,73698.89,0.0
