episode,timestep,reward_sum,reward_mean,steps,energy_cost_zar,demand_charge_zar
1,672,-1307.9816,-1.946401,672,125924.43,0.0
2,1344,-1199.0172,-1.784252,672,114714.48,0.0
3,2016,-1288.945,-1.918073,672,124587.07,0.0
4,2688,-1078.5368,-1.604965,672,102288.25,0.0
5,3360,-1096.4467,-1.631617,672,104839.16,0.0
6,4032,-1044.1469,-1.55379,672,99408.32,0.0
7,4704,-1197.1222,-1.781432,672,114025.58,0.0
8,5376,-1717.8938,-2.55639,672,166295.59,0.0
9,6048,-1045.7452,-1.556168,672,99376.63,0.0
10,6720,-976.7235,-1.453458,672,92580.14,0.0
11,7392,-1105.9972,-1.645829,672,104822.21,0.0
12,8064,-1110.4012,-1.652383,672,105597.6,0.0
13,8736,-1205.6869,-1.794177,672,116076.11,0.0
14,9408,-1218.6515,-1.813469,672,114822.06,0.0
15,10080,-1509.2039,-2.245839,672,145919.62,0.0
16,10752,-970.6748,-1.444457,672,89207.17,0.0
17,11424,-910.7628,-1.355302,672,82544.24,0.0
18,12096,-1246.4438,-1.854827,672,112719.71,0.0
19,12768,-1013.3126,-1.507906,672,89943.23,0.0
20,13440,-1588.9054,-2.364443,672,149048.71,0.0
21,14112,-1059.7512,-1.577011,672,95199.62,0.0
22,14784,-1231.5678,-1.83269,672,111825.23,0.0
23,15456,-883.6124,-1.314899,672,79034.56,0.0
24,16128,-850.217,-1.265204,672,77443.4,0.0
25,16800,-905.8024,-1.34792,672,80591.61,0.0
26,17472,-1023.914,-1.523681,672,93331.43,0.0
27,18144,-911.2636,-1.356047,672,81464.14,0.0
28,18816,-1175.091,-1.748647,672,106199.02,0.0
29,19488,-997.2365,-1.483983,672,90091.95,0.0
30,20160,-1012.0817,-1.506074,672,92331.92,0.0
31,20832,-977.9119,-1.455226,672,93311.92,0.0
32,21504,-997.3857,-1.484205,672,94998.37,0.0
33,22176,-950.8167,-1.414906,672,88916.22,0.0
34,22848,-810.4427,-1.206016,672,77878.13,0.0
35,23520,-999.6742,-1.48761,672,94028.55,0.0
36,24192,-1006.1915,-1.497309,672,94682.45,0.0
37,24864,-1144.5811,-1.703246,672,107177.94,0.0
38,25536,-802.7051,-1.194502,672,75559.08,0.0
39,26208,-1133.2165,-1.686334,672,106346.4,0.0
40,26880,-982.8013,-1.462502,672,94117.61,0.0
41,27552,-1322.1151,-1.967433,672,127640.62,0.0
42,28224,-1117.1113,-1.662368,672,106496.67,0.0
43,28896,-795.389,-1.183615,672,75056.3,0.0
44,29568,-1090.6522,-1.622994,672,102674.94,0.0
45,30240,-1002.6465,-1.492033,672,94647.18,0.0
46,30912,-1079.0461,-1.605723,672,102721.96,0.0
47,31584,-829.063,-1.233725,672,78247.28,0.0
48,32256,-950.4897,-1.414419,672,90502.15,0.0
49,32928,-1000.814,-1.489307,672,93535.77,0.0
50,33600,-821.223,-1.222058,672,76652.86,0.0
51,34272,-981.4557,-1.4605,672,93376.44,0.0
52,34944,-1241.4158,-1.847345,672,118874.41,0.0
53,35616,-819.2417,-1.21911,672,76554.97,0.0
54,36288,-974.05,-1.449479,672,92072.48,0.0
55,36960,-902.8197,-1.343482,672,73885.72,11250.0
56,37632,-1128.5466,-1.679385,672,107433.4,0.0
57,38304,-1077.3491,-1.603198,672,102372.3,0.0
58,38976,-901.5403,-1.341578,672,75912.96,9660.0
59,39648,-832.7867,-1.239266,672,75607.77,0.0
60,40320,-807.3297,-1.201384,672,74157.52,0.0
61,40992,-867.862,-1.291461,672,77101.49,0.0
62,41664,-1161.5952,-1.728564,672,105725.36,0.0
63,42336,-882.7935,-1.313681,672,80382.77,0.0
