episode,timestep,reward_sum,reward_mean,steps,energy_cost_zar,demand_charge_zar
1,672,-1182.3991,-1.759522,672,114140.46,0.0
2,1344,-1089.4096,-1.621145,672,103839.27,0.0
3,2016,-1750.2597,-2.604553,672,170306.94,0.0
4,2688,-1053.5948,-1.567849,672,101513.74,0.0
5,3360,-1205.8887,-1.794477,672,117421.86,0.0
6,4032,-1046.5174,-1.557318,672,89228.77,11250.0
7,4704,-946.7288,-1.408823,672,88975.61,0.0
8,5376,-991.3432,-1.475213,672,93539.5,0.0
9,6048,-849.2838,-1.263815,672,79143.89,0.0
10,6720,-854.0089,-1.270847,672,78799.11,0.0
11,7392,-978.9861,-1.456825,672,93782.93,0.0
12,8064,-1376.4731,-2.048323,672,133537.86,0.0
13,8736,-1118.5736,-1.664544,672,107270.29,0.0
14,9408,-1137.4655,-1.692657,672,109271.7,0.0
15,10080,-904.5258,-1.346021,672,85631.94,0.0
16,10752,-1119.1784,-1.665444,672,107404.85,0.0
17,11424,-839.0793,-1.24863,672,77920.82,0.0
18,12096,-1181.4427,-1.758099,672,112484.95,0.0
19,12768,-964.6161,-1.435441,672,92614.16,0.0
20,13440,-947.467,-1.409921,672,87541.08,0.0
21,14112,-967.8822,-1.440301,672,92077.65,0.0
22,14784,-827.6047,-1.231555,672,76589.99,0.0
23,15456,-954.3214,-1.420121,672,91130.0,0.0
24,16128,-1160.2973,-1.726633,672,110133.07,0.0
25,16800,-985.4021,-1.466372,672,92730.52,0.0
26,17472,-859.9409,-1.279674,672,79600.6,0.0
27,18144,-1118.8272,-1.664921,672,103828.17,0.0
28,18816,-932.0213,-1.386936,672,88693.33,0.0
29,19488,-776.011,-1.154778,672,71876.61,0.0
30,20160,-1122.1169,-1.669817,672,107524.52,0.0
31,20832,-1155.7746,-1.719903,672,110284.82,0.0
32,21504,-959.0531,-1.427162,672,90226.42,0.0
33,22176,-876.4566,-1.304251,672,81185.17,0.0
34,22848,-1108.4611,-1.649496,672,105017.34,0.0
35,23520,-814.2204,-1.211638,672,75321.36,0.0
36,24192,-975.4466,-1.451557,672,93174.7,0.0
37,24864,-1081.1756,-1.608892,672,103087.58,0.0
38,25536,-1092.7263,-1.626081,672,102880.54,0.0
39,26208,-794.8545,-1.182819,672,73166.54,0.0
