episode,timestep,reward_sum,reward_mean,steps,energy_cost_zar,demand_charge_zar
1,672,-1724.8917,-2.566803,672,167357.82,0.0
2,1344,-1288.2083,-1.916977,672,122862.16,0.0
3,2016,-1175.0435,-1.748577,672,112064.18,0.0
4,2688,-1152.342,-1.714795,672,109297.22,0.0
5,3360,-1729.7325,-2.574007,672,168817.68,0.0
6,4032,-975.1177,-1.451068,672,93088.38,0.0
7,4704,-1099.913,-1.636775,672,105997.74,0.0
8,5376,-1082.043,-1.610183,672,89700.7,14460.0
9,6048,-1358.0984,-2.02098,672,129323.11,0.0
10,6720,-1117.2776,-1.662615,672,104870.55,0.0
11,7392,-1085.9997,-1.616071,672,102635.78,0.0
12,8064,-1102.4625,-1.640569,672,104762.39,0.0
13,8736,-1257.4702,-1.871235,672,119303.16,0.0
14,9408,-1213.6061,-1.805962,672,116817.58,0.0
15,10080,-1124.6574,-1.673597,672,106736.5,0.0
16,10752,-1133.6963,-1.687048,672,107849.05,0.0
17,11424,-892.9428,-1.328784,672,83115.27,0.0
18,12096,-1018.429,-1.515519,672,96859.88,0.0
19,12768,-1098.6668,-1.634921,672,104464.95,0.0
20,13440,-1471.4014,-2.189585,672,141897.42,0.0
21,14112,-940.9693,-1.400252,672,87325.72,0.0
22,14784,-1129.425,-1.680692,672,105243.97,0.0
23,15456,-964.4956,-1.435261,672,87158.12,0.0
24,16128,-1031.1376,-1.534431,672,92633.48,0.0
25,16800,-1245.5384,-1.85348,672,114141.19,0.0
26,17472,-898.6716,-1.337309,672,78263.17,0.0
27,18144,-1207.9737,-1.79758,672,110456.91,0.0
28,18816,-1066.3383,-1.586813,672,96290.21,0.0
29,19488,-1058.8662,-1.575694,672,97371.6,0.0
30,20160,-1065.0532,-1.584901,672,97706.56,0.0
31,20832,-963.3252,-1.43352,672,88194.19,0.0
32,21504,-1019.2868,-1.516796,672,90658.69,0.0
33,22176,-992.3667,-1.476736,672,87606.61,0.0
34,22848,-1016.1325,-1.512102,672,95031.73,0.0
35,23520,-1154.9634,-1.718696,672,106973.69,0.0
36,24192,-927.4499,-1.380134,672,85199.43,0.0
37,24864,-924.3135,-1.375467,672,85340.36,0.0
38,25536,-816.2252,-1.214621,672,77104.0,0.0
39,26208,-792.4781,-1.179283,672,74595.55,0.0
40,26880,-852.0804,-1.267977,672,78708.85,0.0
41,27552,-827.1344,-1.230855,672,76332.95,0.0
42,28224,-924.3334,-1.375496,672,85048.61,0.0
43,28896,-1236.6944,-1.840319,672,117495.33,0.0
44,29568,-1009.2565,-1.50187,672,95242.56,0.0
45,30240,-865.7474,-1.288315,672,79503.21,0.0
46,30912,-845.6692,-1.258436,672,77295.4,0.0
47,31584,-1301.2428,-1.936373,672,122628.9,0.0
48,32256,-963.0793,-1.433154,672,91548.64,0.0
49,32928,-1035.5235,-1.540958,672,95799.29,0.0
50,33600,-1148.7693,-1.709478,672,107591.49,0.0
51,34272,-1059.0445,-1.575959,672,96903.81,0.0
52,34944,-1015.0235,-1.510452,672,94444.81,0.0
53,35616,-1194.982,-1.778247,672,112893.75,0.0
54,36288,-913.2901,-1.359063,672,84339.73,0.0
55,36960,-931.868,-1.386708,672,88058.58,0.0
56,37632,-1222.683,-1.819469,672,115106.55,0.0
57,38304,-855.4333,-1.272966,672,78198.37,0.0
58,38976,-1143.2967,-1.701334,672,106781.39,0.0
59,39648,-860.1768,-1.280025,672,80130.06,0.0
60,40320,-843.565,-1.255305,672,77800.41,0.0
61,40992,-1129.1063,-1.680218,672,107164.7,0.0
62,41664,-826.9116,-1.230523,672,76083.09,0.0
63,42336,-940.9517,-1.400226,672,88664.96,0.0
64,43008,-922.04,-1.372083,672,86822.05,0.0
65,43680,-834.2334,-1.241419,672,77868.84,0.0
66,44352,-796.8729,-1.185823,672,74261.21,0.0
67,45024,-1143.8164,-1.702108,672,107664.44,0.0
68,45696,-909.7385,-1.353778,672,85168.46,0.0
69,46368,-893.9209,-1.330239,672,83888.98,0.0
70,47040,-796.8569,-1.185799,672,73275.62,0.0
71,47712,-1099.5301,-1.636205,672,106489.31,0.0
72,48384,-816.4717,-1.214988,672,74889.27,0.0
73,49056,-1145.0558,-1.703952,672,109170.25,0.0
74,49728,-817.9648,-1.217209,672,74461.05,0.0
75,50400,-946.6666,-1.40873,672,90107.56,0.0
76,51072,-1119.9205,-1.666548,672,106279.04,0.0
77,51744,-818.9243,-1.218637,672,76212.64,0.0
78,52416,-793.4655,-1.180752,672,73666.44,0.0
79,53088,-1074.9492,-1.599627,672,103224.77,0.0
80,53760,-992.121,-1.476371,672,93038.57,0.0
81,54432,-1273.2349,-1.894695,672,121622.9,0.0
82,55104,-802.1791,-1.193719,672,74572.24,0.0
83,55776,-1126.4312,-1.676237,672,107954.08,0.0
84,56448,-973.1941,-1.448206,672,93804.03,0.0
85,57120,-931.3754,-1.385975,672,88339.96,0.0
86,57792,-940.7668,-1.399951,672,88885.18,0.0
87,58464,-790.2821,-1.176015,672,74340.72,0.0
88,59136,-804.5747,-1.197284,672,74666.43,0.0
