episode,timestep,reward_sum,reward_mean,steps,energy_cost_zar,demand_charge_zar
1,672,-1724.8917,-2.566803,672,167357.82,0.0
2,1344,-1288.2083,-1.916977,672,122862.16,0.0
3,2016,-1173.1703,-1.745789,672,112338.62,0.0
4,2688,-1101.0277,-1.638434,672,105267.06,0.0
5,3360,-1546.7686,-2.301739,672,150431.0,0.0
6,4032,-957.0788,-1.424224,672,90665.38,0.0
7,4704,-1021.8031,-1.52054,672,98011.22,0.0
8,5376,-1016.8949,-1.513237,672,83435.11,14460.0
9,6048,-1188.7391,-1.768957,672,114264.98,0.0
10,6720,-924.8873,-1.37632,672,86512.35,0.0
11,7392,-958.8923,-1.426923,672,87646.45,0.0
12,8064,-998.7417,-1.486223,672,92178.93,0.0
13,8736,-1159.8844,-1.726018,672,108824.94,0.0
14,9408,-1127.1355,-1.677285,672,107736.01,0.0
15,10080,-1020.1803,-1.518125,672,94235.45,0.0
16,10752,-1001.6474,-1.490547,672,96780.65,0.0
17,11424,-834.2441,-1.241435,672,75682.95,0.0
18,12096,-834.4708,-1.241772,672,78204.48,0.0
19,12768,-963.1687,-1.433287,672,89735.64,0.0
20,13440,-1196.4109,-1.780373,672,112522.5,0.0
21,14112,-865.3526,-1.287727,672,78716.99,0.0
22,14784,-1037.6506,-1.544123,672,98012.29,0.0
23,15456,-911.3071,-1.356112,672,85653.63,0.0
24,16128,-953.1164,-1.418328,672,91139.33,0.0
25,16800,-1137.5226,-1.692742,672,108837.62,0.0
26,17472,-827.4367,-1.231305,672,75328.56,0.0
27,18144,-1090.5481,-1.62284,672,103691.01,0.0
28,18816,-977.6525,-1.45484,672,93345.63,0.0
29,19488,-990.5306,-1.474004,672,93174.07,0.0
30,20160,-987.9608,-1.47018,672,91461.26,0.0
31,20832,-859.5693,-1.279121,672,80148.64,0.0
32,21504,-905.8587,-1.348004,672,82933.84,0.0
33,22176,-893.8582,-1.330146,672,81377.08,0.0
34,22848,-991.0536,-1.474782,672,92036.93,0.0
35,23520,-1098.0938,-1.634068,672,103676.52,0.0
36,24192,-899.3549,-1.338326,672,83377.15,0.0
37,24864,-899.7886,-1.338971,672,83813.24,0.0
38,25536,-818.1316,-1.217458,672,74867.14,0.0
39,26208,-796.8781,-1.18583,672,72151.33,0.0
40,26880,-825.0727,-1.227787,672,75672.25,0.0
41,27552,-792.575,-1.179427,672,71062.53,0.0
42,28224,-893.6444,-1.329828,672,82265.12,0.0
43,28896,-1156.2935,-1.720675,672,108884.02,0.0
44,29568,-998.1617,-1.48536,672,92601.27,0.0
45,30240,-835.9177,-1.243925,672,78840.08,0.0
46,30912,-801.529,-1.192752,672,75197.37,0.0
47,31584,-1129.9099,-1.681413,672,107563.59,0.0
48,32256,-955.5043,-1.421881,672,88416.58,0.0
49,32928,-1017.5066,-1.514147,672,94842.91,0.0
50,33600,-1087.0358,-1.617613,672,103106.31,0.0
51,34272,-983.4839,-1.463518,672,92079.58,0.0
52,34944,-969.1711,-1.442219,672,90319.36,0.0
53,35616,-1119.2742,-1.665587,672,106611.73,0.0
54,36288,-895.3599,-1.332381,672,82753.15,0.0
55,36960,-915.0943,-1.361747,672,85760.25,0.0
56,37632,-1104.2556,-1.643238,672,103513.95,0.0
57,38304,-821.2987,-1.222171,672,76077.22,0.0
58,38976,-1088.6907,-1.620076,672,101982.29,0.0
59,39648,-839.6147,-1.249427,672,78986.14,0.0
60,40320,-804.3169,-1.1969,672,74623.6,0.0
61,40992,-1108.3184,-1.649283,672,104642.5,0.0
62,41664,-810.5387,-1.206159,672,75721.01,0.0
63,42336,-918.4571,-1.366752,672,86705.19,0.0
64,43008,-917.5597,-1.365416,672,84335.78,0.0
65,43680,-823.3536,-1.225229,672,77498.37,0.0
66,44352,-783.8253,-1.166407,672,73355.63,0.0
67,45024,-1084.9489,-1.614507,672,101903.12,0.0
68,45696,-897.6928,-1.335852,672,84132.47,0.0
69,46368,-879.0437,-1.308101,672,82612.06,0.0
70,47040,-785.1266,-1.168343,672,71862.77,0.0
71,47712,-1096.1324,-1.631149,672,105246.67,0.0
72,48384,-792.2203,-1.178899,672,71031.02,0.0
73,49056,-1087.0286,-1.617602,672,104247.21,0.0
74,49728,-790.3602,-1.176131,672,71527.92,0.0
75,50400,-932.7218,-1.387979,672,88458.43,0.0
76,51072,-1099.9838,-1.636881,672,104256.23,0.0
77,51744,-809.5536,-1.204693,672,73485.3,0.0
78,52416,-773.7137,-1.15136,672,72298.44,0.0
79,53088,-1062.5145,-1.581123,672,100446.19,0.0
80,53760,-985.9858,-1.467241,672,92499.86,0.0
81,54432,-1128.9449,-1.679978,672,107896.52,0.0
82,55104,-770.819,-1.147052,672,71135.12,0.0
83,55776,-1097.9868,-1.633909,672,104188.17,0.0
84,56448,-965.9758,-1.437464,672,90979.45,0.0
85,57120,-930.1623,-1.38417,672,87524.16,0.0
86,57792,-934.9653,-1.391317,672,87018.22,0.0
87,58464,-785.5871,-1.169028,672,72903.17,0.0
88,59136,-791.3244,-1.177566,672,71290.14,0.0
