episode,timestep,reward_sum,reward_mean,steps,energy_cost_zar,demand_charge_zar
1,672,-1011.9729,-1.505912,672,96917.63,0.0
2,1344,-1101.7623,-1.639527,672,105880.61,0.0
3,2016,-1294.352,-1.926119,672,124116.71,0.0
4,2688,-1007.5542,-1.499337,672,95667.66,0.0
5,3360,-991.3502,-1.475224,672,94507.1,0.0
6,4032,-1278.2476,-1.902154,672,122873.79,0.0
7,4704,-983.5663,-1.46364,672,93734.03,0.0
8,5376,-1106.0193,-1.645862,672,104317.47,0.0
9,6048,-1167.6049,-1.737507,672,111369.97,0.0
10,6720,-971.4308,-1.445582,672,89518.28,0.0
11,7392,-1104.138,-1.643062,672,105741.84,0.0
12,8064,-1105.2081,-1.644655,672,104478.71,0.0
13,8736,-1015.4231,-1.511046,672,95816.78,0.0
14,9408,-1406.9255,-2.093639,672,135922.29,0.0
15,10080,-1033.5894,-1.538079,672,98256.99,0.0
16,10752,-991.2962,-1.475143,672,90777.4,0.0
17,11424,-1352.971,-2.01335,672,129493.64,0.0
18,12096,-1002.1598,-1.491309,672,93863.16,0.0
19,12768,-966.3977,-1.438092,672,79686.57,9660.0
20,13440,-1361.4908,-2.026028,672,131504.69,0.0
21,14112,-1018.7369,-1.515977,672,90466.79,0.0
22,14784,-958.8236,-1.426821,672,84791.82,0.0
23,15456,-1032.0665,-1.535813,672,94296.35,0.0
24,16128,-1455.4361,-2.165827,672,141493.65,0.0
25,16800,-990.7267,-1.474296,672,89821.0,0.0
26,17472,-1381.5288,-2.055846,672,128472.75,0.0
27,18144,-877.6111,-1.305969,672,77849.02,0.0
28,18816,-884.2231,-1.315808,672,79046.78,0.0
29,19488,-884.5134,-1.31624,672,80032.34,0.0
30,20160,-952.0895,-1.4168,672,85129.79,0.0
31,20832,-987.1888,-1.469031,672,89953.26,0.0
32,21504,-1355.9496,-2.017782,672,129498.01,0.0
33,22176,-1159.7361,-1.725798,672,107340.26,0.0
34,22848,-982.1293,-1.461502,672,90130.55,0.0
35,23520,-1311.3066,-1.951349,672,124243.34,0.0
36,24192,-1239.036,-1.843804,672,115135.07,0.0
37,24864,-1068.896,-1.590619,672,99045.66,0.0
38,25536,-1005.5609,-1.49637,672,93653.99,0.0
39,26208,-845.4352,-1.258088,672,77133.14,0.0
40,26880,-976.6372,-1.453329,672,88550.53,0.0
41,27552,-979.595,-1.457731,672,91790.11,0.0
42,28224,-840.6382,-1.25095,672,75894.81,0.0
43,28896,-962.2761,-1.431958,672,88404.55,0.0
44,29568,-1099.6677,-1.63641,672,105372.24,0.0
45,30240,-944.4198,-1.405387,672,84888.91,0.0
46,30912,-1003.534,-1.493354,672,93172.04,0.0
47,31584,-1018.5634,-1.515719,672,94476.43,0.0
48,32256,-1210.2168,-1.800918,672,113350.1,0.0
49,32928,-1039.1952,-1.546421,672,97838.98,0.0
50,33600,-1177.1633,-1.751731,672,108642.42,0.0
51,34272,-864.3982,-1.286307,672,78968.91,0.0
52,34944,-951.1456,-1.415395,672,88589.86,0.0
53,35616,-1104.8311,-1.644094,672,105447.08,0.0
54,36288,-858.7245,-1.277864,672,79414.72,0.0
55,36960,-1026.7811,-1.527948,672,95667.89,0.0
56,37632,-1099.7565,-1.636542,672,104101.33,0.0
57,38304,-886.5468,-1.319266,672,82123.63,0.0
58,38976,-1149.806,-1.711021,672,108744.21,0.0
59,39648,-928.0649,-1.381049,672,85673.57,0.0
60,40320,-1034.9081,-1.540042,672,98252.51,0.0
61,40992,-851.4206,-1.266995,672,77949.2,0.0
62,41664,-995.3497,-1.481175,672,93376.89,0.0
63,42336,-898.5379,-1.33711,672,78684.0,0.0
