arm,fault,severity,cost,energy,demand,clipped,clip_dis,clip_chg,clip_floor,clip_ceil,clip_full,sat,act_dev
S0,F1,1,87452.1197342104,87452.1197342104,0.0,0.4628720238095238,0.4628720238095238,0.0,0.4628720238095238,0.0,0.0,0.0002232142857142857,0.008692170613046203
S0,F1,2,90575.08050285478,90575.08050285478,0.0,0.3958333333333333,0.3958333333333333,0.0,0.3958333333333333,0.0,0.0,0.0017857142857142857,0.2013814469178518
S0,F1,3,94125.61004372162,94125.61004372162,0.0,0.31949404761904765,0.31949404761904765,0.0,0.31949404761904765,0.0,0.026339285714285714,0.07738095238095238,0.5057150111001517
S0,F2,1,87403.63066352143,87403.63066352143,0.0,0.4643601190476191,0.4643601190476191,0.0,0.4643601190476191,0.0,0.0,0.0002232142857142857,0.0
S0,F2,2,87403.63066352143,87403.63066352143,0.0,0.4643601190476191,0.4643601190476191,0.0,0.4643601190476191,0.0,0.0,0.0002232142857142857,0.0
S0,F2,3,88083.15941514523,88083.15941514523,0.0,0.44590773809523804,0.44590773809523804,0.0,0.44590773809523804,0.0,0.0,0.001413690476190476,0.07574278631558021
S0,F3,1,87403.63066352143,87403.63066352143,0.0,0.4643601190476191,0.4643601190476191,0.0,0.4643601190476191,0.0,0.0,0.0002232142857142857,0.0
S0,F3,2,87432.84149346378,87432.84149346378,0.0,0.4577380952380953,0.4577380952380953,0.0,0.4577380952380953,0.0,0.0,0.0009672619047619048,0.0030798885793912978
S0,F3,3,87427.71885341083,87427.71885341083,0.0,0.45840773809523816,0.45840773809523816,0.0,0.45840773809523816,0.0,7.44047619047619e-05,0.001488095238095238,0.003471932914995012
S0,F4,1,87403.35127160288,87403.35127160288,0.0,0.4645833333333333,0.4645833333333333,0.0,0.4645833333333333,0.0,0.0,0.0002232142857142857,0.000814061997724431
S0,F4,2,87402.14886423957,87402.14886423957,0.0,0.4648065476190476,0.4648065476190476,0.0,0.4648065476190476,0.0,0.0,0.0002232142857142857,0.0029566259212082343
S0,F4,3,87393.05803004376,87393.05803004376,0.0,0.4642113095238095,0.4642113095238095,0.0,0.4642113095238095,0.0,0.0,0.0002232142857142857,0.006380875572739612
S0,F5,1,87405.90712535114,87405.90712535114,0.0,0.4643601190476191,0.4643601190476191,0.0,0.4643601190476191,0.0,0.0,0.0002232142857142857,0.0032729698566808588
S0,F5,2,87408.47047112256,87408.47047112256,0.0,0.46205357142857145,0.46205357142857145,0.0,0.46205357142857145,0.0,0.0,0.0002232142857142857,0.008862235645453135
S0,F5,3,87414.78021786518,87414.78021786518,0.0,0.46183035714285714,0.46183035714285714,0.0,0.46183035714285714,0.0,0.0,0.0002232142857142857,0.01588793344174822
S0,F6a,1,88696.28627257669,88696.28627257669,0.0,0.4663690476190476,0.4663690476190476,0.0,0.4663690476190476,0.0,0.0,7.44047619047619e-05,0.12773849533516027
S0,F6a,2,92260.81223438603,92260.81223438603,0.0,0.46049107142857143,0.46049107142857143,0.0,0.46049107142857143,0.0,0.0,0.0004464285714285714,0.2466580949679372
S0,F6a,3,97808.64459507694,97808.64459507694,0.0,0.4694196428571429,0.4694196428571429,0.0,0.4694196428571429,0.0,0.0,0.000744047619047619,0.3839090807230345
S0,F6b,1,87714.49302953745,87714.49302953745,0.0,0.4741071428571429,0.4741071428571429,0.0,0.4741071428571429,0.0,0.0,0.0001488095238095238,0.03548551810727942
S0,F6b,2,88007.40925351504,88007.40925351504,0.0,0.47819940476190476,0.47819940476190476,0.0,0.47819940476190476,0.0,0.0,0.0002232142857142857,0.0964877176187223
S0,F6b,3,90394.57942716542,90394.57942716542,0.0,0.5060267857142857,0.5060267857142857,0.0,0.5060267857142857,0.0,0.0,0.0001488095238095238,0.21287368463707113
S0,none,0,87403.63066352143,87403.63066352143,0.0,0.4643601190476191,0.4643601190476191,0.0,0.4643601190476191,0.0,0.0,0.0002232142857142857,0.0
S1,F1,1,92373.9469860045,92373.9469860045,0.0,0.513467261904762,0.513467261904762,0.0,0.513467261904762,0.0,0.0,0.0055059523809523805,0.013339287672369254
S1,F1,2,93010.15957529483,93010.15957529483,0.0,0.48816964285714287,0.48816964285714287,0.0,0.48816964285714287,0.0,0.0,0.011458333333333334,0.1847539588409875
S1,F1,3,94247.2340978375,94247.2340978375,0.0,0.46324404761904764,0.46324404761904764,0.0,0.46324404761904764,0.0,0.0005208333333333333,0.025520833333333333,0.4321248405923447
S1,F2,1,92364.96646581002,92364.96646581002,0.0,0.5144345238095238,0.5144345238095238,0.0,0.5144345238095238,0.0,0.0,0.004464285714285714,0.0
S1,F2,2,92364.96646581002,92364.96646581002,0.0,0.5144345238095238,0.5144345238095238,0.0,0.5144345238095238,0.0,0.0,0.004464285714285714,0.0
S1,F2,3,92373.38835508237,92373.38835508237,0.0,0.5066964285714286,0.5066964285714286,0.0,0.5066964285714286,0.0,0.0,0.005729166666666666,0.04076847767102577
S1,F3,1,92364.96646581002,92364.96646581002,0.0,0.5144345238095238,0.5144345238095238,0.0,0.5144345238095238,0.0,0.0,0.004464285714285714,0.0
S1,F3,2,92378.30605957427,92378.30605957427,0.0,0.5130208333333334,0.5130208333333334,0.0,0.5130208333333334,0.0,0.0001488095238095238,0.004910714285714286,0.0016226466612092086
S1,F3,3,92394.12922758375,92394.12922758375,0.0,0.5129464285714286,0.5129464285714286,0.0,0.5129464285714286,0.0,0.0001488095238095238,0.005431547619047619,0.0026161489032563707
S1,F4,1,92367.64482032313,92367.64482032313,0.0,0.5142857142857143,0.5142857142857143,0.0,0.5142857142857143,0.0,0.0,0.004538690476190476,0.000924523418680543
